2116,2962
<EOS>
<EOP>
In 821,351,26,21
der 859,351,40,21
Versammlung 909,351,179,27
vom 1099,358,55,14
4. 1165,351,19,21
<EOS>
Mai 1196,351,47,21
unter- 1253,356,78,16
hielt 790,384,57,22
uns 867,392,43,14
Alt-Präsident 932,384,175,22
und 1128,385,48,21
Ehrenmit- 1198,384,133,22
glied 791,419,59,28
Willy 860,419,70,27
Zimmermann 941,419,172,21
mit 1123,420,44,19
einer 1177,420,61,20
«Plan- 1250,419,82,21
derei 791,453,61,21
über 864,453,57,21
meine 934,454,74,20
Erlebnisse 1023,453,130,21
in 1165,454,25,20
Marokko» 1202,453,130,21
und 789,487,48,21
wurde 855,487,78,21
dafür 951,487,68,20
recht 1035,487,66,21
herzlich 1117,487,101,21
applau- 1234,487,95,27
diert. 791,521,66,21
<EOS>
Am 820,555,45,21
22. 884,555,34,20
<EOS>
Mai 929,555,47,21
erfreute 994,555,99,21
uns 1111,562,42,14
die 1173,555,36,21
«Lands- 1229,555,102,21
mannschaftliche 791,588,209,22
Vereinigung» 1013,588,171,28
(Bund 1198,589,80,27
der 1292,589,39,21
kantonalen 790,622,143,21
Vereine 948,622,97,21
in 1059,623,25,20
Basel), 1098,623,86,27
LMV, 1201,623,72,25
mit 1288,623,44,20
einem 791,657,74,20
sehr 881,657,52,20
interessanten 947,657,172,21
Lichtbildervor- 1135,657,195,21
trag 790,696,52,22
über 850,691,57,21
Korea 916,691,78,21
(Oberstleutnant 1003,691,204,27
E. 1217,691,26,21
<EOS>
Fank- 1255,691,75,20
hauser, 789,725,92,24
Bern). 894,725,78,27
<EOS>
Am 820,759,45,21
27. 875,759,33,21
<EOS>
Mai 920,759,47,20
führte 975,759,78,21
uns 1059,766,43,14
der 1113,759,38,21
übliche 1160,759,91,21
Früh- 1258,759,72,21
jahrsbummel 788,792,170,28
bei 986,792,37,22
herrlichstem 1052,792,160,22
Wetter 1240,793,91,21
über 790,826,57,22
den 859,826,44,22
«Predigerhof» 918,826,181,28
nach 1111,827,61,21
Therwil. 1184,826,105,22
<EOS>
Am 820,861,45,20
22. 882,862,34,19
<EOS>
Juni 930,861,56,23
unternahmen 1001,861,172,21
einige 1189,862,73,27
Mit- 1277,861,53,21
glieder 790,894,85,28
unter 890,899,68,17
der 975,895,39,21
Führung 1030,895,110,27
unseres 1156,903,93,13
Vize- 1265,895,65,21
Präsidenten 789,929,150,27
einen 969,929,66,21
Ausflug 1063,929,96,27
nach 1187,929,61,21
dem 1277,929,53,21
Weißenstein. 790,963,164,21
<EOS>
Am 820,997,45,21
26. 888,997,34,21
<EOS>
September 936,997,135,27
lud 1093,997,40,21
die 1157,997,35,21
LMV 1215,997,64,21
zu 1302,1005,27,13
einer 790,1031,61,21
Besichtigung 861,1030,166,28
der 1037,1031,40,21
im 1085,1031,33,21
Bau 1129,1031,50,21
begriffenen 1188,1030,142,28
«St. 792,1064,49,21
<EOS>
Albanbrücke» 853,1064,180,22
ein. 1047,1065,43,21
<EOS>
Am 820,1099,45,20
28. 890,1100,34,20
<EOS>
September 938,1099,136,27
hielt 1097,1099,57,21
Ehrenpräsi- 1179,1099,150,27
dent 790,1133,56,21
Hans 863,1133,65,20
Oswald 945,1132,92,21
einen 1054,1133,66,21
sehr 1136,1133,51,21
aktuellen, 1204,1132,125,25
interessanten 789,1167,170,21
Vortrag 979,1167,100,28
über 1099,1167,57,21
das 1176,1167,41,21
Abzah- 1237,1167,91,21
lungsgeschäft. 789,1201,180,27
<EOS>
Der 977,1201,46,21
Besuch 1030,1201,90,21
entsprach 1127,1201,124,27
leider 1259,1201,70,21
nicht 789,1234,65,22
der 867,1234,40,22
Wichtigkeit 919,1234,152,28
des 1084,1234,39,22
Themas. 1135,1234,108,22
<EOS>
- 1256,1247,14,2
Der 1284,1234,45,22
Thurgauer, 789,1268,142,28
in 944,1269,23,20
und 979,1268,48,21
außerhalb 1041,1268,126,21
der 1180,1268,39,21
engeren 1232,1276,97,19
Heimat, 790,1302,103,25
zahlt 905,1302,63,21
eben 980,1302,57,21
bar. 1047,1303,49,20
<EOS>
A.K. 1267,1302,61,21
<EOS>
<EOP>
Thurgauerverein 889,1441,255,34
Bern 1157,1441,73,25
Kräht 820,1528,77,21
der 906,1528,40,21
Hahn 952,1528,70,21
und 1030,1528,49,21
schreibt 1088,1528,101,21
der 1198,1528,40,21
«Chro- 1245,1528,83,21
nast», 789,1567,78,21
ändert's 881,1561,102,22
wenig, 1000,1563,81,27
jeder 1093,1562,65,27
treibt's, 1174,1562,99,26
wie 1287,1563,41,20
es 790,1604,22,13
ihm 823,1596,49,21
paßt! 883,1596,67,27
<EOS>
Gliedern 822,1630,108,21
die 946,1630,35,21
Vereine 997,1630,96,21
unser 1109,1637,68,14
Volk 1193,1630,60,21
auch 1269,1630,60,21
recht 788,1664,66,21
vielfältig, 864,1664,122,27
so 997,1671,25,14
bestimmen 1033,1664,140,21
sie 1184,1665,31,20
den 1227,1665,43,20
All- 1282,1664,46,21
tag 789,1703,40,23
und 844,1698,49,21
Lebensgang 909,1698,151,28
des 1076,1698,39,21
einzelnen 1132,1698,118,21
Men- 1265,1698,63,21
sehen 790,1731,69,22
im 871,1732,32,21
Grunde 919,1731,94,22
wenig. 1025,1732,81,27
<EOS>
Die 1120,1731,42,22
Präsidenten 1177,1731,152,22
mögen 789,1768,81,25
noch 887,1765,60,21
so 963,1773,23,13
mit 1003,1766,43,20
ihren 1060,1765,66,21
Flügeln, 1141,1765,104,28
meist 1261,1766,67,20
papierenen, 789,1800,147,26
um 953,1808,40,12
sich 1009,1799,48,21
schlagen, 1073,1799,115,28
sich 1205,1799,48,21
noch 1268,1799,60,21
so 790,1841,24,13
hoch 827,1833,61,21
stellen 902,1833,78,21
und 996,1833,47,21
die 1058,1833,35,21
Stimme 1110,1833,97,21
erheben, 1221,1833,107,25
der 790,1867,39,21
Berichterstatter 853,1867,206,21
mag 1083,1875,53,19
die 1161,1867,35,21
schönste 1221,1867,107,21
Laudatio 789,1901,115,21
begangener 918,1901,145,28
Taten 1075,1902,76,20
zuwege 1163,1908,91,21
brin- 1267,1902,61,20
gen 789,1943,43,20
- 851,1947,15,2
man 885,1942,55,14
nimmt's 958,1935,105,21
zur 1084,1943,39,13
Kenntnis 1144,1935,117,21
und 1279,1935,49,21
schreitet 789,1969,109,21
weiter. 912,1969,85,21
<EOS>
Die 1012,1969,42,21
Akteure 1068,1969,102,21
dürfen 1184,1969,83,21
sich 1280,1969,48,21
zufrieden 789,2002,117,22
geben, 925,2002,81,27
wenn 1024,2010,67,14
auf 1110,2002,41,22
vergangenen 1167,2010,161,20
Tagen 789,2037,78,27
noch 875,2036,61,21
eine 944,2037,49,20
Zeitlang 1002,2036,100,27
der 1111,2036,39,21
Hauch 1156,2036,84,21
seliger 1249,2036,79,27
Erinnerung 789,2070,145,27
haftet. 947,2070,88,21
<EOS>
<EOS>
<EOS>
<EOP>
Der 819,2104,46,21
letzte 873,2104,70,21
Jahresbericht 951,2104,174,23
endete 1135,2104,82,21
mit 1223,2105,43,19
dem 1276,2104,52,21
beglückenden 788,2138,176,27
Gedenken 994,2138,126,21
der 1149,2138,39,21
thurgau- 1216,2138,111,27
ischen 787,2172,80,21
Jubiläumsfeiern 892,2172,205,23
- 1120,2184,15,2
es 1158,2179,22,14
waren 1204,2179,77,14
ja 1302,2173,25,26
deren 789,2206,70,21
mehrere 870,2206,103,21
-. 984,2218,21,9
<EOS>
Aus 1018,2206,48,20
dem 1079,2205,52,22
nachfolgenden 1143,2205,185,28
Jahresprogramm 791,2239,217,28
ist 1030,2239,30,22
wenig 1082,2239,73,28
zu 1178,2247,28,13
melden. 1228,2239,98,22
<EOS>
Mitte 788,2273,68,21
November 879,2273,133,21
wurde 1034,2273,78,21
wiederum 1134,2273,125,21
von 1280,2281,48,13
allen 789,2307,59,21
deutschschweizerischen 885,2307,299,21
Heimat- 1221,2307,105,21
Vereinigungen 788,2341,180,27
der 979,2341,39,21
Stadt 1030,2340,69,22
Bern 1110,2341,61,20
ein 1182,2341,36,20
Dichter- 1228,2340,99,21
und 789,2375,47,20
Sc/iriyiste/ZerahencZ 855,2374,225,28
durchgeführt 1099,2375,167,27
mit 1284,2375,44,20
der 789,2409,40,20
feinsinnigen 862,2408,151,28
Erzählerin 1048,2409,135,20
E/isa6eï/i 1214,2408,114,21
